Model,accuracy,balanced_accuracy,f1_macro,f1_weighted,roc_auc
RandomForest,0.6266666666666667,0.6024709302325582,0.601063829787234,0.615886524822695,0.6660610465116279
XGBoost,0.64,0.6180959302325582,0.6179966044142615,0.6314431239388795,0.6511627906976745
MLP,0.6133333333333333,0.590843023255814,0.5897000565930957,0.6041426146010187,0.6140988372093024
