Feature,Importance
Conchiformibius,0.027748823
Subgroup 10,0.02433619
Acidipropionibacterium,0.017334294
Spirochaeta 2,0.016970439
MCP3,0.016941922
Arthrobacter,0.015822766
Peptostreptococcus,0.01578383
Lautropia,0.014956152
Glutamicibacter,0.014809029
Alcaligenes,0.014752955
