Model,accuracy,balanced_accuracy,f1_macro,f1_weighted,roc_auc
RandomForest,0.7528089887640449,0.7306501547987616,0.7351190476190477,0.7451177100053504,0.7636738906088751
XGBoost,0.7078651685393258,0.6914344685242518,0.6939153439153439,0.7034599607633315,0.7786377708978328
MLP,0.7528089887640449,0.7440660474716203,0.7455821205821206,0.7518454063397884,0.8054695562435501
