Feature,Importance
Stenoxybacter,0.02932064
TRAIL,0.025869325
Actinobacillus,0.0177519
Cutibacterium,0.01684066
Lachnospiraceae FCS020 group,0.0154691385
Peptococcus,0.015036158
GROA,0.013858776
Moraxella,0.013571204
Conchiformibius,0.012546466
Herbaspirillum,0.012454929
