Model,accuracy,balanced_accuracy,f1_macro,f1_weighted,roc_auc
RandomForest,0.6666666666666666,0.6611111111111111,0.6616961789375583,0.6654240447343897,0.7405349794238684
XGBoost,0.7474747474747475,0.7462962962962962,0.7458149327308206,0.7476822243177383,0.7757201646090535
MLP,0.6161616161616161,0.6055555555555555,0.6044995794785535,0.6106735988989984,0.6625514403292181
