Model,accuracy,balanced_accuracy,f1_macro,f1_weighted,roc_auc
RandomForest,0.693069306930693,0.6736443381180224,0.6747012987012987,0.6846506364922206,0.7886762360446571
XGBoost,0.6534653465346535,0.6385566188197767,0.6393225181103969,0.6485153565861637,0.7348484848484849
MLP,0.6039603960396039,0.5869218500797448,0.5860655737704918,0.597143320889466,0.6251993620414673
