Metric,Baseline,With_SMOTE
accuracy,0.5945945945945946,0.9766355140186916
balanced_accuracy,0.11111111111111112,0.9767441860465116
f1_macro,0.09362041467304624,0.9759516779665136
f1_weighted,0.4604724341566446,0.9758936386438185
roc_auc_ovr,0.685960673497552,0.9989821806100876
roc_auc_ovo,0.6681698009378888,0.998987226042391
